LAN,Local Area Network
LBE/NTE,LBJ Express And North Tarrant Expressway
LED,Light Emitting Diode
LES,Law Enforcement Systems
LLC,Limited Liability Company
LM,LAN Manager
LOS,Level Of Service
LOTD,Letter Of Toll Due
LP,License Plate
LPN,License Plate Number
LPN,License Plate Number
LPR,License Plate Reader
LPR,License Plate Recognition
LRSDP,Long Range Strategic Deployment Plan
LSIORB,Louisville Southern Indiana Ohio River Bridge And/or Its LSIORB Tolling System
LSIORB,Louisville Southern Indiana Ohio River Bridges
LUN,Logical Unit Number
LoS,Level Of Service